ID, 용어코드, 전체명칭, 설명, 등록일
9,BST,Blood Sugar Test, 혈당 검사: 보통 손가락 끝에서 채혈하여 간이로 측정하는 혈당 검사를 말한다.,2025-11-21
8,BMI,Body Mass Index, 체질량지수: 키와 몸무게를 이용해 비만도를 산출하는 지수
공식 - 몸무게(KG) / 키(M)X키(M),2025-11-21
7,EMR,Electronic Medical Record, 전자의무기록: 환자의 모든 진료 기록(차트, 병력 등)을 전산화한 것이다.,2025-11-21
6,PACS,Picture Archiving and Communication System, 의료영상저장전송시스템: X-ray, CT, MRI 등의 영상 데이터를 디지털로 저장하고, 진료실이나 검진 센터 PC에서 조회할 수 있게 해주는 시스템,2025-11-21
4,LIS,Lab Data Management, 검사실 정보 시스템: 혈액, 소변, 검체 등 임상병리 검사와 관련 된모든 정보를 관리하는 시스템,2025-11-20
3,BP,Blood Pressure, 혈압: 수축기/이완기 혈압, 검진 기초 검사 필수 항목,
2,BM,Body Measurement, 신체계측: 키, 몸무게, 시력, 청력 등 가장 기초적인 검사,
1,OCS,Order Communication System, 처방전달시스템: 의사의 처방을 각 진료/검사 부서로 전송하는 시스템,
